ac_id,us_id,epic_id,squad,owner_role,estimate_points,phase_primary,phase_secondary,priority,moscow,release,requirement_type,nfr_metric,nfr_target,depends_on_epics,depends_on_us,depends_on_acs,test_layer_required,min_automated_tests,framework_tags,control_clause_ids,requirement_statement,objective,preconditions,verification_procedure,expected_result,edge_cases,suggested_tc_primary,suggested_tc_negative,automation_hints,architecture_refs
AC-DG-02-001-01,US-DG-02-001,EPIC-DG-02,control-plane,backend_engineer,2,L3,L12/C5,P2,Could,Post-MVP,Functional,,,,,,unit+integration,1,,,"Request body validates `CreateScanRequest` shape including `repo`, `policy_ids`, `scan_layers`, optional `cloud_profiles`, `notifications`, `budget` (Architecture §28.4).","Verify AC-DG-02-001-01: Request body validates `CreateScanRequest` shape including `repo`, `policy_ids`, `scan_layers`, optional `cloud_profiles`, `notifications`, `budget` (Architecture §28.4).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states. Feature-disabled path yields explicit skip/no-op behaviour.,TC-DG-02-001-01,TC-DG-02-001-01.2,"pytest marker @pytest.mark.req(""AC-DG-02-001-01"") or Xray/TestRail key == AC-DG-02-001-01",Architecture §28.4
AC-DG-02-001-02,US-DG-02-001,EPIC-DG-02,control-plane,backend_engineer,3,L3,L12/C5,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,Validation rejects jobs where `scan_layers.cloud=true` but neither `repo` nor `cloud_profiles` satisfy minimum inputs per normative rules (Architecture §28.4).,Verify AC-DG-02-001-02: Validation rejects jobs where `scan_layers.cloud=true` but neither `repo` nor `cloud_profiles` satisfy minimum inputs per normative rules (Architecture §28.4).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces. | 4. Execute negative path and assert stable error_code with no side effects.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-02-001-02,TC-DG-02-001-02.2,"pytest marker @pytest.mark.req(""AC-DG-02-001-02"") or Xray/TestRail key == AC-DG-02-001-02",Architecture §28.4
AC-DG-02-001-03,US-DG-02-001,EPIC-DG-02,control-plane,backend_engineer,3,L3,L12/C5,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,Validation rejects `scan_layers.code=true` or `iac=true` without `repo` when required (Architecture §28.4).,Verify AC-DG-02-001-03: Validation rejects `scan_layers.code=true` or `iac=true` without `repo` when required (Architecture §28.4).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces. | 4. Execute negative path and assert stable error_code with no side effects.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-02-001-03,TC-DG-02-001-03.2,"pytest marker @pytest.mark.req(""AC-DG-02-001-03"") or Xray/TestRail key == AC-DG-02-001-03",Architecture §28.4
AC-DG-02-001-04,US-DG-02-001,EPIC-DG-02,control-plane,backend_engineer,3,L3,L12/C5,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,"Response `201` returns `scan_id` and initial `status` in {`PENDING`,`QUEUED`}.","Verify AC-DG-02-001-04: Response `201` returns `scan_id` and initial `status` in {`PENDING`,`QUEUED`}.",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-02-001-04,TC-DG-02-001-04.2,"pytest marker @pytest.mark.req(""AC-DG-02-001-04"") or Xray/TestRail key == AC-DG-02-001-04",Architecture_Design.md (see product spec)
AC-DG-02-002-01,US-DG-02-002,EPIC-DG-02,control-plane,backend_engineer,2,L3,L12/C5,P2,Could,Post-MVP,Functional,,,,,,unit+integration,1,,,`Idempotency-Key` header optional; duplicates within 24h return same `scan_id` with `201` or documented idempotent success code (Architecture §28.3).,Verify AC-DG-02-002-01: `Idempotency-Key` header optional; duplicates within 24h return same `scan_id` with `201` or documented idempotent success code (Architecture §28.3).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states. Feature-disabled path yields explicit skip/no-op behaviour.,TC-DG-02-002-01,TC-DG-02-002-01.2,"pytest marker @pytest.mark.req(""AC-DG-02-002-01"") or Xray/TestRail key == AC-DG-02-002-01",Architecture §28.3
AC-DG-02-002-02,US-DG-02-002,EPIC-DG-02,control-plane,backend_engineer,3,L3,L12/C5,P0,Must,MVP,Functional,,,,,,unit+integration,1,,,"DB uniqueness on `(tenant_id, idempotency_key)` enforced (Architecture §29.1).","Verify AC-DG-02-002-02: DB uniqueness on `(tenant_id, idempotency_key)` enforced (Architecture §29.1).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-02-002-02,TC-DG-02-002-02.2,"pytest marker @pytest.mark.req(""AC-DG-02-002-02"") or Xray/TestRail key == AC-DG-02-002-02",Architecture §29.1
AC-DG-02-003-01,US-DG-02-003,EPIC-DG-02,control-plane,backend_engineer,3,L3,L12/C5,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,"Response includes `current_stage`, `stage_started_at`, `percent_complete`, `error_code`, `error_message` (sanitised) per §28.5.","Verify AC-DG-02-003-01: Response includes `current_stage`, `stage_started_at`, `percent_complete`, `error_code`, `error_message` (sanitised) per §28.5.",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-02-003-01,TC-DG-02-003-01.2,"pytest marker @pytest.mark.req(""AC-DG-02-003-01"") or Xray/TestRail key == AC-DG-02-003-01",Architecture_Design.md (see product spec)
AC-DG-02-003-02,US-DG-02-003,EPIC-DG-02,control-plane,backend_engineer,3,L3,L12/C5,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,"Terminal states `COMPLETE`, `FAILED`, `CANCELLED`, `AWAITING_REVIEW` behave as documented (Architecture §28.5).","Verify AC-DG-02-003-02: Terminal states `COMPLETE`, `FAILED`, `CANCELLED`, `AWAITING_REVIEW` behave as documented (Architecture §28.5).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-02-003-02,TC-DG-02-003-02.2,"pytest marker @pytest.mark.req(""AC-DG-02-003-02"") or Xray/TestRail key == AC-DG-02-003-02",Architecture §28.5
AC-DG-02-003-03,US-DG-02-003,EPIC-DG-02,control-plane,backend_engineer,3,L3,L12/C5,P0,Must,MVP,Functional,,,,,,unit+integration,1,,,Cross-tenant access returns `404` or `403` without leaking existence (security baseline).,Verify AC-DG-02-003-03: Cross-tenant access returns `404` or `403` without leaking existence (security baseline).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-02-003-03,TC-DG-02-003-03.2,"pytest marker @pytest.mark.req(""AC-DG-02-003-03"") or Xray/TestRail key == AC-DG-02-003-03",Architecture_Design.md (see product spec)
AC-DG-02-004-01,US-DG-02-004,EPIC-DG-02,control-plane,backend_engineer,3,L3,L12/C5,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,"Supports `severity`, `framework`, `cursor` pagination (Architecture §28.3).","Verify AC-DG-02-004-01: Supports `severity`, `framework`, `cursor` pagination (Architecture §28.3).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-02-004-01,TC-DG-02-004-01.2,"pytest marker @pytest.mark.req(""AC-DG-02-004-01"") or Xray/TestRail key == AC-DG-02-004-01",Architecture §28.3
AC-DG-02-004-02,US-DG-02-004,EPIC-DG-02,control-plane,backend_engineer,3,L3,L12/C5,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,"Each finding includes stable identifiers: `framework`, `control_id`, `status`, `severity`, `evidence_refs`, `confidence_score`, `policy_version` (Architecture §29.1 fields / §3 model).","Verify AC-DG-02-004-02: Each finding includes stable identifiers: `framework`, `control_id`, `status`, `severity`, `evidence_refs`, `confidence_score`, `policy_version` (Architecture §29.1 fields / §3 model).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-02-004-02,TC-DG-02-004-02.2,"pytest marker @pytest.mark.req(""AC-DG-02-004-02"") or Xray/TestRail key == AC-DG-02-004-02",Architecture §29.1 fields / §3 model
AC-DG-02-005-01,US-DG-02-005,EPIC-DG-02,control-plane,backend_engineer,3,L3,L12/C5,P0,Must,MVP,Functional,,,,,,unit+integration,1,,,`GET /v1/scans/{scan_id}/artifacts/{artifact_id}` returns `302` to short-TTL presigned URL or streams via authenticated proxy (Architecture §28.3).,Verify AC-DG-02-005-01: `GET /v1/scans/{scan_id}/artifacts/{artifact_id}` returns `302` to short-TTL presigned URL or streams via authenticated proxy (Architecture §28.3).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-02-005-01,TC-DG-02-005-01.2,"pytest marker @pytest.mark.req(""AC-DG-02-005-01"") or Xray/TestRail key == AC-DG-02-005-01",Architecture §28.3
AC-DG-02-005-02,US-DG-02-005,EPIC-DG-02,control-plane,backend_engineer,5,L3,L12/C5,P0,Must,MVP,Functional,,,,,,unit+integration,1,,,"Artefact row stores `checksum_sha256`, `size_bytes`, `encryption` mode (Architecture §29.1).","Verify AC-DG-02-005-02: Artefact row stores `checksum_sha256`, `size_bytes`, `encryption` mode (Architecture §29.1).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-02-005-02,TC-DG-02-005-02.2,"pytest marker @pytest.mark.req(""AC-DG-02-005-02"") or Xray/TestRail key == AC-DG-02-005-02",Architecture §29.1
AC-DG-02-006-01,US-DG-02-006,EPIC-DG-02,control-plane,backend_engineer,3,L3,L12/C5,P0,Must,MVP,Functional,,,,,,unit+integration,1,,,"Payload includes `event`, `scan_id`, `tenant_id`, `report_artifact_id` when completed (Architecture §28.6).","Verify AC-DG-02-006-01: Payload includes `event`, `scan_id`, `tenant_id`, `report_artifact_id` when completed (Architecture §28.6).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-02.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-02-006-01,TC-DG-02-006-01.2,"pytest marker @pytest.mark.req(""AC-DG-02-006-01"") or Xray/TestRail key == AC-DG-02-006-01",Architecture §28.6
